agentType,id,name,image
person,gary-elshaw,Gary Elshaw,https://secure.gravatar.com/avatar/e30cb409d435f5b626db44620e95d134.png?d=none&r=pg&s=256
person,genevieve,Genevieve Parkes,https://loomio-attachments.s3.amazonaws.com/users/uploaded_avatars/000/004/638/large/Screenshot_2014-09-30_22.01.31.png?1412069313
person,gina-rembe,Gina Rembe,https://secure.gravatar.com/avatar/77bb18aa5925ecd7dff8ef71325cc57f.png?d=none&r=pg&s=170
person,hannah,Hannah Salmon,http://gravatar.com/avatar/afa91980b06fae820c502ed90f8431fd?s=512&d=identicon
person,helene-malandain,Helene Malandain,https://lh3.googleusercontent.com/-tcCfOtEa9cs/T8iAok1mdXI/AAAAAAAAA2c/VLrBjao3Nlk/s480-no/1%2BJun%2B2012%2B20%3A43%3A22.jpg
person,isabelle-metz,Isabelle Metz,
person,jack-tolley,Jack Tolley,https://loomio-attachments.s3.amazonaws.com/users/uploaded_avatars/000/000/216/large/jackphotolowresjan2015.jpg?1423689804
person,jackson,Jackson,https://loomio-attachments.s3.amazonaws.com/users/uploaded_avatars/000/004/678/large/tintin.jpeg?1411354440
person,jaime-campbell,Jaime Campbell,https://lh4.googleusercontent.com/-Hsu9wgqMCNA/VD8MAT8pm1I/AAAAAAAAABU/YvpZLLgxUFs/w427-h426-no/Jamanius.jpg
person,jaime-mcdonald,Jaime McDonald,
person,james-kiesel,James,https://loomio-attachments.s3.amazonaws.com/users/uploaded_avatars/000/011/834/large/10366246_10203157007760488_1186876061934200688_n.jpg?1405896966
person,james-king,James King,
person,jess,Jess,https://loomio-attachments.s3.amazonaws.com/users/uploaded_avatars/000/030/918/large/puppy.jpg?1412151528
person,jesse,Jesse Doud,https://www.loomio.org/assets/people/jesse-b605b0d9033fc5638acfb5ab5b2181e1.jpg
person,jon,Jon Lemmon,https://loomio-attachments.s3.amazonaws.com/users/uploaded_avatars/000/000/003/large/strawberry.jpeg?1406161853
person,jordan-carter,Jordan Carter,http://www.buckybox.com/images/team-jordan-023095f4.jpg
person,josh-forde,Josh Forde,http://www.rabid.co.nz/assets/profiles/josh-sq-e1486588bc767caf12d3bd4a8523558a.jpg
person,josh-mcarthur,Josh McArthur,http://www.rabid.co.nz/assets/profiles/josh-mc-sq-403f5efd53096fe8fe2bc54a664710ac.jpg
person,joshua-vial,Joshua Vial,https://avatars3.githubusercontent.com/u/72309?v=2&s=460
person,kate-beecroft,Kate Beecroft,http://www.buckybox.com/images/team-kate-5bd81dff.jpg
person,katie,Katie,https://loomio-attachments.s3.amazonaws.com/users/uploaded_avatars/000/030/918/large/puppy.jpg?1412151528
person,kiesia,Kiesia Carmine,https://secure.gravatar.com/avatar/e83333fdb3380a648d42a4e174e6c0d5.png?d=none&r=pg&s=170
person,laura-o'connell-rapira,Laura O'Connell-Rapira,https://d3n8a8pro7vhmx.cloudfront.net/actionstation/pages/104/attachments/original/1407014944/laura.jpg?1407014944
person,malcolm-shearer,Malcolm Shearer,https://lh3.googleusercontent.com/-xu_ROW_sm8w/AAAAAAAAAAI/AAAAAAAAGms/hhOUOgZNCJM/photo.jpg
person,manu,Manu Vallyon,https://media.licdn.com/mpr/mpr/shrink_200_200/p/3/005/00a/1e6/0930f0c.jpg
person,marianne-elliott,Marianne Elliot,https://d3n8a8pro7vhmx.cloudfront.net/actionstation/pages/104/attachments/original/1407013228/marianne.jpg?1407013228
person,mary-o'keeffe,Mary O'Keeffe,https://loomio-attachments.s3.amazonaws.com/users/uploaded_avatars/000/040/445/large/photo1_%283%29.jpg?1414569625
person,mason-herber,Mason Herber,https://loomio-attachments.s3.amazonaws.com/users/uploaded_avatars/000/011/190/large/profile_pic.jpg?1403835891
person,matt-poland,Matt Poland,
person,matt-sinnock,Matt Sinnock,https://media.licdn.com/mpr/mpr/shrink_120_120/p/3/000/033/33f/1b85d25.jpg
person,matthew-bartlett,Matthew Bartlett,https://secure.gravatar.com/avatar/63bb0231a55daec448cd2ecf30ed722e.png?d=none&r=pg&s=512
person,matthew-kerr,Matthew Kerr,https://secure.gravatar.com/avatar/b064ca94396ebd53f3154f15d6fb5f3c.jpg?s=192&d=https%3A%2F%2Fslack.global.ssl.fastly.net%2F3654%2Fimg%2Favatars%2Fava_0012.png
person,maz-hermon,Maz Hermon,https://loomio-attachments.s3.amazonaws.com/users/uploaded_avatars/000/000/019/large/mazProfileOfficeBW.png?1406161867
